Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
56,Room temperature (≈25°C),High (pH~4.5),Thickened,Thermal flask,Sour fermentation smell,>15%,Yes
117,Insulated container,High (pH~4.5),Normal (smooth),Glass jar sealed,Strong off-odor,Oil film present,Yes
67,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
96,Covered in container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
12,Covered in container,None,Thickened,Glass jar sealed,Fresh/normal,None,No
101,Insulated container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,5-15%,Yes
1,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
7,Room temperature (≈25°C),None,Clotted/curdled,Plastic box with lid,Fresh/normal,<5%,No
54,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
11,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,>15%,No
117,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,>15%,Yes
69,Warm environment (≈35°C),High (pH~4.5),Mushy,Metal container,Sour fermentation smell,>15%,Yes
115,Room temperature (≈25°C),None,Watery separation,Thermal flask,Strong off-odor,5-15%,Yes
84,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,5-15%,Yes
25,Warm environment (≈35°C),None,Watery separation,Plastic box with lid,Fresh/normal,Oil film present,No
100,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
29,Covered in container,Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,None,No
72,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,>15%,No
81,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Slight off-smell,5-15%,No
13,Warm environment (≈35°C),High (pH~4.5),Mushy,Thermal flask,Strong off-odor,Oil film present,Yes
5,Open air / uncovered,Moderate (pH~5.5),Thickened,Plastic box with lid,Slight off-smell,<5%,Yes
67,Warm environment (≈35°C),High (pH~4.5),Thickened,Metal container,Sour fermentation smell,Oil film present,Yes
19,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
59,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
10,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
20,Covered in container,Moderate (pH~5.5),Thickened,Metal container,Sour fermentation smell,<5%,Yes
3,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
35,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
98,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Sour fermentation smell,Oil film present,Yes
54,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
57,Warm environment (≈35°C),High (pH~4.5),Watery separation,Metal container,Rancid smell,>15%,Yes
52,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
62,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
111,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
20,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
1,Refrigerated (≈4°C),None,Thickened,Metal container,Fresh/normal,5-15%,No
20,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
16,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
100,Open air / uncovered,None,Clotted/curdled,Metal container,Sour fermentation smell,Oil film present,Yes
98,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
10,Refrigerated (≈4°C),Moderate (pH~5.5),Thickened,Plastic box with lid,Fresh/normal,None,No
4,Covered in container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
91,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Strong off-odor,None,No
66,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,>15%,Yes
61,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Open bowl,Sour fermentation smell,<5%,Yes
12,Open air / uncovered,Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,None,No
14,Room temperature (≈25°C),High (pH~4.5),Thickened,Plastic box with lid,Strong off-odor,>15%,Yes
88,Covered in container,Moderate (pH~5.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
112,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Rancid smell,Oil film present,Yes
104,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
109,Covered in container,High (pH~4.5),Thickened,Thermal flask,Sour fermentation smell,Oil film present,Yes
21,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
49,Covered in container,High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
60,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Strong off-odor,<5%,Yes
107,Room temperature (≈25°C),High (pH~4.5),Thickened,Plastic box with lid,Strong off-odor,None,Yes
0,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
97,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
40,Covered in container,High (pH~4.5),Clotted/curdled,Metal container,Rancid smell,Oil film present,Yes
11,Refrigerated (≈4°C),None,Clotted/curdled,Glass jar sealed,Fresh/normal,None,No
114,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
3,Insulated container,Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
103,Insulated container,None,Thickened,Thermal flask,Strong off-odor,5-15%,Yes
16,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
54,Open air / uncovered,Low (pH~6.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
59,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
29,Covered in container,None,Thickened,Plastic box with lid,Fresh/normal,None,No
93,Insulated container,Moderate (pH~5.5),Thickened,Thermal flask,Strong off-odor,>15%,Yes
46,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
111,Refrigerated (≈4°C),High (pH~4.5),Mushy,Metal container,Sour fermentation smell,Oil film present,Yes
89,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,None,Yes
112,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Metal container,Rancid smell,Oil film present,Yes
18,Open air / uncovered,Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,5-15%,Yes
48,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,None,Yes
38,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Metal container,Sour fermentation smell,5-15%,Yes
59,Covered in container,Moderate (pH~5.5),Mushy,Glass jar sealed,Sour fermentation smell,None,Yes
23,Covered in container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
119,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
72,Room temperature (≈25°C),None,Thickened,Metal container,Rancid smell,<5%,Yes
67,Warm environment (≈35°C),High (pH~4.5),Thickened,Thermal flask,Strong off-odor,Oil film present,Yes
74,Refrigerated (≈4°C),None,Watery separation,Glass jar sealed,Fresh/normal,None,No
13,Insulated container,High (pH~4.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
87,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Rancid smell,5-15%,Yes
32,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Metal container,Rancid smell,>15%,Yes
80,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
48,Covered in container,Low (pH~6.5),Watery separation,Open bowl,Sour fermentation smell,5-15%,Yes
1,Open air / uncovered,None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
38,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
63,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Slight off-smell,None,No
67,Covered in container,None,Normal (smooth),Glass jar sealed,Slight off-smell,5-15%,No
91,Insulated container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
65,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Sour fermentation smell,>15%,Yes
5,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
10,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
84,Covered in container,High (pH~4.5),Thickened,Glass jar sealed,Rancid smell,>15%,Yes
59,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
113,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,5-15%,Yes
31,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
31,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,>15%,Yes
116,Covered in container,High (pH~4.5),Thickened,Thermal flask,Rancid smell,>15%,Yes
118,Insulated container,High (pH~4.5),Thickened,Open bowl,Slight off-smell,Oil film present,Yes
25,Covered in container,High (pH~4.5),Thickened,Thermal flask,Rancid smell,Oil film present,Yes
49,Open air / uncovered,High (pH~4.5),Mushy,Plastic box with lid,Rancid smell,>15%,Yes
72,Refrigerated (≈4°C),None,Thickened,Metal container,Fresh/normal,None,No
20,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Plastic box with lid,Strong off-odor,Oil film present,Yes
50,Covered in container,High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,5-15%,Yes
68,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
33,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
0,Warm environment (≈35°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
37,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Metal container,Strong off-odor,Oil film present,Yes
99,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
96,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
13,Room temperature (≈25°C),None,Normal (smooth),Metal container,Strong off-odor,None,No
83,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Rancid smell,<5%,Yes
120,Insulated container,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,None,Yes
70,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,>15%,Yes
115,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,5-15%,Yes
63,Open air / uncovered,Moderate (pH~5.5),Mushy,Thermal flask,Slight off-smell,5-15%,Yes
77,Warm environment (≈35°C),None,Mushy,Plastic box with lid,Rancid smell,>15%,Yes
109,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,Oil film present,Yes
47,Open air / uncovered,High (pH~4.5),Mushy,Thermal flask,Rancid smell,>15%,Yes
68,Open air / uncovered,Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
8,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Open bowl,Fresh/normal,None,No
46,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,5-15%,Yes
51,Covered in container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
3,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,>15%,No
107,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
5,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
82,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
34,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
112,Room temperature (≈25°C),None,Thickened,Plastic box with lid,Strong off-odor,Oil film present,Yes
48,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Strong off-odor,Oil film present,Yes
48,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
12,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Slight off-smell,None,No
39,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
111,Covered in container,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,Oil film present,Yes
45,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Glass jar sealed,Sour fermentation smell,>15%,Yes
65,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
39,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
62,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,None,No
50,Warm environment (≈35°C),Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,None,No
1,Refrigerated (≈4°C),Low (pH~6.5),Mushy,Metal container,Fresh/normal,None,No
11,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
48,Refrigerated (≈4°C),None,Thickened,Plastic box with lid,Fresh/normal,None,No
106,Warm environment (≈35°C),High (pH~4.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
59,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
22,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
32,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
64,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,>15%,Yes
42,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,<5%,No
7,Open air / uncovered,None,Mushy,Plastic box with lid,Fresh/normal,None,No
108,Covered in container,Moderate (pH~5.5),Mushy,Open bowl,Sour fermentation smell,<5%,Yes
25,Open air / uncovered,None,Watery separation,Metal container,Strong off-odor,None,Yes
58,Refrigerated (≈4°C),Moderate (pH~5.5),Thickened,Metal container,Rancid smell,5-15%,Yes
100,Refrigerated (≈4°C),None,Mushy,Glass jar sealed,Fresh/normal,None,No
58,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
36,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
2,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
107,Covered in container,High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
98,Covered in container,High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,Oil film present,Yes
81,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
27,Open air / uncovered,Low (pH~6.5),Watery separation,Thermal flask,Fresh/normal,None,No
97,Covered in container,High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,Oil film present,Yes
91,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Slight off-smell,Oil film present,Yes
114,Open air / uncovered,High (pH~4.5),Watery separation,Metal container,Rancid smell,>15%,Yes
99,Refrigerated (≈4°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
120,Covered in container,High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
46,Open air / uncovered,None,Clotted/curdled,Plastic box with lid,Fresh/normal,None,No
115,Room temperature (≈25°C),High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,5-15%,Yes
66,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Slight off-smell,None,No
95,Room temperature (≈25°C),None,Mushy,Metal container,Sour fermentation smell,>15%,Yes
20,Open air / uncovered,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,>15%,No
46,Insulated container,None,Mushy,Metal container,Fresh/normal,None,No
66,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,Oil film present,Yes
4,Room temperature (≈25°C),Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,None,No
22,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
98,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
82,Insulated container,Moderate (pH~5.5),Thickened,Metal container,Sour fermentation smell,Oil film present,Yes
15,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
33,Covered in container,High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,Oil film present,Yes
92,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,None,Yes
18,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
61,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
